style;move
Boxing;jab
Boxing;hook
Boxing;uppercut
Capoeira;macaco
Capoeira;chapeu de couro
Capoeira;envergado
Karate;seiken choku zuki
Karate;uchi uke
Karate;jodan mawashi geri
Krav Maga;360 defense
Krav Maga;choke defense
Krav Maga;knife defense
Kung Fu;wire fu kick
Kung Fu;wing chun punch
Kung Fu;rear leg front kick
Muay Thai;elbow strike
Muay Thai;hanuman
Muay Thai;flying knee
Taekwondo;tornado kick
Taekwondo;axe kick
Taekwondo;rear horse kick
Brazilian Jiu Jitsu;arm lock
Brazilian Jiu Jitsu;triangle choke
Brazilian Jiu Jitsu;baiana
Russian Sambo;leg sweep
Russian Sambo;scissor takedown
Russian Sambo;hip thronw
Judo;uchi mata
Judo;okuri eri jime
Judo;sacrifice throw
Wrestling;single leg
Wrestling;arm throw
Wrestling;foot sweep